notation,AAT URI,exactMatch,closeMatch,relatedMatch
B51DAF,http://vocab.getty.edu/page/aat/300010358,http://vocab.getty.edu/page/aat/300010358,nan,nan
B5DD1A,http://vocab.getty.edu/page/aat/300010900,http://vocab.getty.edu/page/aat/300010900,nan,nan
FGA46A,http://vocab.getty.edu/page/aat/300241621,http://vocab.getty.edu/page/aat/300241621,nan,nan
FD5149,http://vocab.getty.edu/page/aat/300011021,http://vocab.getty.edu/page/aat/300011021,nan,nan
F135A8,http://vocab.getty.edu/page/aat/300011029,http://vocab.getty.edu/page/aat/300011029,nan,nan
BBF566,http://vocab.getty.edu/page/aat/300241615,http://vocab.getty.edu/page/aat/300241615,nan,nan
F71C6B,http://vocab.getty.edu/page/aat/300011002,http://vocab.getty.edu/page/aat/300011002,nan,nan
B28FA6,http://vocab.getty.edu/page/aat/300011020,http://vocab.getty.edu/page/aat/300011020,nan,nan
G992B6,http://vocab.getty.edu/page/aat/300011022,http://vocab.getty.edu/page/aat/300011022,nan,nan
G8AG1C,http://vocab.getty.edu/page/aat/300011037,http://vocab.getty.edu/page/aat/300011037,nan,nan
G78BD6,http://vocab.getty.edu/page/aat/300133748,http://vocab.getty.edu/page/aat/300133748,nan,nan
F9GB13,http://vocab.getty.edu/page/aat/300010902,http://vocab.getty.edu/page/aat/300010902,nan,nan
DC5B2B,http://vocab.getty.edu/page/aat/300010963,http://vocab.getty.edu/page/aat/300010963,nan,nan
AD789F,http://vocab.getty.edu/page/aat/300010975,http://vocab.getty.edu/page/aat/300010975,nan,nan
F9F6DG,http://vocab.getty.edu/page/aat/300010965,http://vocab.getty.edu/page/aat/300010965,nan,nan
BC75G1,http://vocab.getty.edu/page/aat/30001090,http://vocab.getty.edu/page/aat/30001090,nan,nan
A82D86,http://vocab.getty.edu/page/aat/300011014,http://vocab.getty.edu/page/aat/300011014,nan,nan
FGB415,http://vocab.getty.edu/page/aat/300010942,http://vocab.getty.edu/page/aat/300010942,nan,nan
BF7D14,http://vocab.getty.edu/page/aat/300010957,http://vocab.getty.edu/page/aat/300010957,nan,nan
DG663G,http://vocab.getty.edu/page/aat/300010959,http://vocab.getty.edu/page/aat/300010959,nan,nan
A8B271,http://vocab.getty.edu/page/aat/300010946,http://vocab.getty.edu/page/aat/300010946,nan,nan
B93G16,http://vocab.getty.edu/page/aat/300196199,http://vocab.getty.edu/page/aat/300196199,nan,nan
F387GB,http://vocab.getty.edu/page/aat/300010932,http://vocab.getty.edu/page/aat/300010932,nan,nan
G6A358,http://vocab.getty.edu/page/aat/300010978,http://vocab.getty.edu/page/aat/300010978,nan,nan
F15DFD,nan,nan,nan,nan
CD3341,http://vocab.getty.edu/page/aat/300011792,http://vocab.getty.edu/page/aat/300011792,nan,nan
F2A45F,http://vocab.getty.edu/page/aat/300011793,http://vocab.getty.edu/page/aat/300011793,nan,nan
D73F9B,http://vocab.getty.edu/page/aat/300011845,http://vocab.getty.edu/page/aat/300011845,nan,nan
AB4988,http://vocab.getty.edu/page/aat/300386673,http://vocab.getty.edu/page/aat/300386673,nan,nan
G899F5,http://vocab.getty.edu/page/aat/300011814,http://vocab.getty.edu/page/aat/300011814,nan,nan
AA992C,http://vocab.getty.edu/page/aat/300011820,http://vocab.getty.edu/page/aat/300011820,nan,nan
DF96G1,http://vocab.getty.edu/page/aat/300014074,http://vocab.getty.edu/page/aat/300014074,nan,nan
D51GAA,http://vocab.getty.edu/page/aat/300011818,http://vocab.getty.edu/page/aat/300011818,nan,nan
G43GG2,http://vocab.getty.edu/page/aat/300011819,http://vocab.getty.edu/page/aat/300011819,nan,nan
A5G856,http://vocab.getty.edu/page/aat/300183670,http://vocab.getty.edu/page/aat/300183670,nan,nan
G356D5,http://vocab.getty.edu/page/aat/300012774,http://vocab.getty.edu/page/aat/300012774,nan,nan
FG3BCD,http://vocab.getty.edu/page/aat/300012264,http://vocab.getty.edu/page/aat/300012264,nan,nan
CAD229,http://vocab.getty.edu/page/aat/300012236,http://vocab.getty.edu/page/aat/300012236,nan,nan
BGG879,http://vocab.getty.edu/page/aat/300011973,http://vocab.getty.edu/page/aat/300011973,nan,nan
F1BD88,http://vocab.getty.edu/page/aat/300011918,http://vocab.getty.edu/page/aat/300011918,nan,nan
A11ACA,http://vocab.getty.edu/page/aat/300235507,http://vocab.getty.edu/page/aat/300235507,nan,nan
DA2D73,http://vocab.getty.edu/page/aat/300010797,http://vocab.getty.edu/page/aat/300010797,nan,nan
D866AD,nan,nan,nan,nan
CAB799,http://vocab.getty.edu/page/aat/300419305,http://vocab.getty.edu/page/aat/300419305,nan,nan
AG4397,http://vocab.getty.edu/page/aat/300379432,http://vocab.getty.edu/page/aat/300379432,nan,nan
G41GC6,http://vocab.getty.edu/page/aat/300195439,http://vocab.getty.edu/page/aat/300195439,nan,nan
A255FD,http://vocab.getty.edu/page/aat/300228711,http://vocab.getty.edu/page/aat/300228711,nan,nan
BFGD3B,http://vocab.getty.edu/page/aat/300054130,http://vocab.getty.edu/page/aat/300054130,nan,nan
B9C457,http://vocab.getty.edu/page/aat/300220720,http://vocab.getty.edu/page/aat/300220720,nan,nan
B538AG,http://vocab.getty.edu/page/aat/300024594,http://vocab.getty.edu/page/aat/300024594,nan,nan
AG4G3C,http://vocab.getty.edu/page/aat/300444116,http://vocab.getty.edu/page/aat/300444116,nan,nan
B764C6,http://vocab.getty.edu/page/aat/300024596,http://vocab.getty.edu/page/aat/300024596,nan,nan
DA9CGG,http://vocab.getty.edu/page/aat/300219960| http://vocab.getty.edu/page/aat/300053768,http://vocab.getty.edu/page/aat/300219960| http://vocab.getty.edu/page/aat/300053768,nan,nan
C79561,http://vocab.getty.edu/page/aat/300053742,http://vocab.getty.edu/page/aat/300053742,nan,nan
CDD613,http://vocab.getty.edu/page/aat/300053027,http://vocab.getty.edu/page/aat/300053027,nan,nan
FF8792,http://vocab.getty.edu/page/aat/300219637,http://vocab.getty.edu/page/aat/300219637,nan,nan
A13CD1,http://vocab.getty.edu/page/aat/300053012,http://vocab.getty.edu/page/aat/300053012,nan,nan
B3FCA1,http://vocab.getty.edu/page/aat/300380032| https://cameo.mfa.org/wiki/reducing_agent,http://vocab.getty.edu/page/aat/300380032| https://cameo.mfa.org/wiki/reducing_agent,nan,nan
A2B746,http://vocab.getty.edu/page/aat/300237910,http://vocab.getty.edu/page/aat/300237910,nan,nan
FGF575,http://vocab.getty.edu/page/aat/300011752,http://vocab.getty.edu/page/aat/300011752,nan,nan
GFD582,http://vocab.getty.edu/page/aat/300014426,http://vocab.getty.edu/page/aat/300014426,nan,nan
DF5773,http://vocab.getty.edu/page/aat/300014507,http://vocab.getty.edu/page/aat/300014507,nan,nan
